No,Date,LOCO_SPEED,gps_latitude,gps_longitude
141,00:02:20,28,39.3889,38.1129
142,00:02:21,28,39.3889,38.1129
143,00:02:22,29,39.3889,38.1129
144,00:02:23,28,39.3892,38.113
145,00:02:24,28,39.3892,38.113
146,00:02:25,28,39.3892,38.113
147,00:02:26,27,39.3892,38.113
148,00:02:27,27,39.3892,38.113
149,00:02:28,27,39.3896,38.1131
150,00:02:29,27,39.3896,38.1131
151,00:02:30,26,39.3896,38.1131
152,00:02:31,26,39.3896,38.1131
153,00:02:32,26,39.3896,38.1131
154,00:02:33,26,39.3899,38.1132
155,00:02:34,25,39.3899,38.1132
156,00:02:35,25,39.3899,38.1132
157,00:02:36,24,39.3899,38.1132
158,00:02:37,24,39.3899,38.1132
159,00:02:38,23,39.3902,38.1133
160,00:02:39,23,39.3902,38.1133
161,00:02:40,22,39.3902,38.1133
162,00:02:41,22,39.3902,38.1133
163,00:02:42,21,39.3902,38.1133
164,00:02:43,21,39.3904,38.1135
165,00:02:44,21,39.3904,38.1135
166,00:02:45,20,39.3904,38.1135
167,00:02:46,20,39.3904,38.1135
168,00:02:47,20,39.3904,38.1135
169,00:02:48,20,39.3907,38.1135
170,00:02:49,20,39.3907,38.1135
171,00:02:50,19,39.3907,38.1135
172,00:02:51,19,39.3907,38.1135
173,00:02:52,19,39.3907,38.1135
174,00:02:53,19,39.3909,38.1136
175,00:02:54,19,39.3909,38.1136
176,00:02:55,19,39.3909,38.1136
177,00:02:56,18,39.3909,38.1136
178,00:02:57,18,39.3909,38.1136
179,00:02:58,17,39.3911,38.1137
180,00:02:59,17,39.3911,38.1137
181,00:03:00,16,39.3911,38.1137
182,00:03:01,16,39.3911,38.1137
183,00:03:02,15,39.3911,38.1137
184,00:03:03,14,39.3913,38.1137
185,00:03:04,14,39.3913,38.1137
186,00:03:05,13,39.3913,38.1137
187,00:03:06,12,39.3913,38.1137
188,00:03:07,10,39.3913,38.1137
189,00:03:08,8,39.3914,38.1138
190,00:03:09,7,39.3914,38.1138
191,00:03:10,5,39.3914,38.1138
192,00:03:11,4,39.3914,38.1138
193,00:03:12,3,39.3914,38.1138
194,00:03:13,1,39.3914,38.1138
195,00:03:14,0,39.3914,38.1138
196,00:03:15,0,39.3914,38.1138
197,00:03:16,0,39.3914,38.1138
198,00:03:17,0,39.3914,38.1138
199,00:03:18,0,39.3915,38.1138
200,00:03:19,0,39.3915,38.1138
201,00:03:20,0,39.3915,38.1138
202,00:03:21,0,39.3915,38.1138
203,00:03:22,0,39.3915,38.1138
204,00:03:23,0,39.3915,38.1138
205,00:03:24,0,39.3915,38.1138
206,00:03:25,0,39.3915,38.1138
207,00:03:26,0,39.3915,38.1138
208,00:03:27,0,39.3915,38.1138
209,00:03:28,0,39.3915,38.1138
210,00:03:29,0,39.3915,38.1138
211,00:03:30,0,39.3915,38.1138
212,00:03:31,0,39.3915,38.1138
213,00:03:32,0,39.3915,38.1138
214,00:03:33,0,39.3915,38.1138
215,00:03:34,0,39.3915,38.1138
216,00:03:35,0,39.3915,38.1138
217,00:03:36,0,39.3915,38.1138
218,00:03:37,0,39.3915,38.1138
219,00:03:38,0,39.3915,38.1138
220,00:03:39,0,39.3915,38.1138
221,00:03:40,0,39.3915,38.1138
222,00:03:41,0,39.3915,38.1138
223,00:03:42,0,39.3915,38.1138
224,00:03:43,0,39.3915,38.1138
225,00:03:44,0,39.3915,38.1138
226,00:03:45,0,39.3915,38.1138
227,00:03:46,0,39.3915,38.1138
228,00:03:47,0,39.3915,38.1138
229,00:03:48,0,39.3915,38.1138
230,00:03:49,0,39.3915,38.1138
231,00:03:50,0,39.3915,38.1138
232,00:03:51,0,39.3915,38.1138
233,00:03:52,0,39.3915,38.1138
234,00:03:53,0,39.3915,38.1138
235,00:03:54,0,0,0
236,00:03:55,0,39.3915,38.1138
237,00:03:56,0,39.3915,38.1138
238,00:03:57,0,39.3915,38.1138
239,00:03:58,0,39.3915,38.1138
240,00:03:59,0,39.3915,38.1138
241,00:04:00,0,39.3915,38.1138
242,00:04:01,0,39.3915,38.1138
243,00:04:02,0,39.3915,38.1138
244,00:04:03,0,39.3915,38.1138
245,00:04:04,0,39.3915,38.1138
246,00:04:05,0,39.3915,38.1138
247,00:04:06,0,39.3915,38.1138
248,00:04:07,0,39.3915,38.1138
249,00:04:08,0,39.3915,38.1138
250,00:04:09,0,39.3915,38.1138
251,00:04:10,0,39.3915,38.1138
252,00:04:11,0,39.3915,38.1138
253,00:04:12,0,39.3915,38.1138
254,00:04:13,0,39.3915,38.1138
255,00:04:14,0,39.3915,38.1138
256,00:04:15,0,39.3915,38.1138
257,00:04:16,0,39.3915,38.1138
258,00:04:17,0,39.3915,38.1138
259,00:04:18,0,39.3915,38.1138
260,00:04:19,0,39.3915,38.1138
261,00:04:20,0,39.3915,38.1138
262,00:04:21,0,39.3915,38.1138
263,00:04:22,0,39.3915,38.1138
264,00:04:23,0,39.3915,38.1138
265,00:04:24,0,39.3915,38.1138
266,00:04:25,1,39.3915,38.1138
267,00:04:26,1,39.3915,38.1138
268,00:04:27,2,39.3915,38.1138
269,00:04:28,3,39.3915,38.1138
270,00:04:29,3,39.3914,38.1138
271,00:04:30,4,39.3914,38.1138
272,00:04:31,4,39.3914,38.1138
273,00:04:32,4,39.3914,38.1138
274,00:04:33,5,39.3914,38.1138
275,00:04:34,5,39.3913,38.1137
276,00:04:35,5,39.3913,38.1137
277,00:04:36,6,39.3913,38.1137
278,00:04:37,6,39.3913,38.1137
279,00:04:38,7,39.3913,38.1137
280,00:04:39,8,39.3912,38.1137
281,00:04:40,9,39.3912,38.1137
282,00:04:41,10,39.3912,38.1137
283,00:04:42,11,39.3912,38.1137
284,00:04:43,11,39.3912,38.1137
